s,a,dis,motion_one,motion_two,motion_three,motion_four,motion_five,motion_six,distanceToFootball,position_encoded,nearestTeammatePosition_encoded,orientation_encoded,nearestDefenderPosition_encoded,distanceToDefender,distanceToTeammate,Predicted Probability,Predicted Class
0.19,0.78,0.02,0.0,0.0,0.0,0.0,0.0,1.0,4.768197285750372,0,11,2,3,2.372614591542428,1.4616771189288014,0.7089621,1
0.14,0.78,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.764000987055451,0,11,2,3,2.301238796822263,1.4741099009232643,0.7120006,1
0.13,0.71,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.771717695860075,0,11,2,3,2.23606797749979,1.476651617681028,0.713876,1
0.11,0.56,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.769673971394505,0,11,2,3,2.171750446068793,1.4786818454285546,0.7160856,1
0.12,0.51,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.779465427912789,0,11,2,3,2.115206845677267,1.4886235252742717,0.7138655,1
0.07,0.34,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.789257746230505,0,11,2,3,2.0582759776084427,1.5096025967121283,0.7106478,1
0.07,0.31,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.799051145229939,0,11,2,3,2.015564437074641,1.5206906325745537,0.70758104,1
0.1,0.27,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.803133984747896,0,11,2,3,1.9875864761061333,1.5107613974416998,0.7072271,1
0.11,0.17,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.783565208069633,0,11,2,3,1.987284579520514,1.4921461054467826,0.70976615,1
0.11,0.1,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.785644796489267,0,11,2,3,1.9872845795205039,1.4934523762075582,0.7066974,1
0.11,0.05,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.775866008418982,0,11,3,3,1.9872845795205014,1.4439182802361081,0.67103845,1
0.12,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0,4.7640002369277274,0,11,3,3,1.9872845795205116,1.4270599146496967,0.6754363,1
0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.75421899633124,0,11,3,3,1.9942417105255874,1.4187670703818855,0.675082,1
0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.744438667820061,0,11,3,3,1.994091271732568,1.3990353819685901,0.6829279,1
0.09,0.04,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.742362096507988,0,11,3,3,1.9869826370655574,1.3926234236145796,0.6864456,1
0.13,0.07,0.03,0.0,0.0,0.0,0.0,0.0,1.0,4.703232748324627,0,11,3,3,2.0223748416156706,1.3532922818075908,0.6990576,1
0.11,0.07,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.703232748324627,0,11,3,3,2.0223748416156706,1.3631214179228495,0.6932189,1
0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.693452704837094,0,11,3,3,2.036516633862826,1.3532922818075943,0.69348586,1
0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.703232748324627,0,11,3,3,2.0152667317256006,1.343465667592589,0.697579,1
0.07,0.06,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.69555090600168,0,11,3,3,2.0364675298172537,1.3300375934536617,0.70405763,1
0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.69555090600168,0,11,3,3,2.0435508312738397,1.3300375934536617,0.7013965,1
0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6976699119492435,0,11,3,3,2.0365166338628335,1.3201893803541989,0.70473504,1
0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.687899594622584,0,11,3,3,2.0506584308460605,1.308625232830239,0.71009994,1
0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.678130247961466,0,11,3,3,2.057692882818041,1.2987686476043385,0.7124833,1
0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.678130247961466,0,11,3,3,2.0506584308460583,1.3086252328302426,0.70842326,1
0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.666230016135747,0,11,3,3,2.050609665440989,1.2987686476043385,0.71414274,1
0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.666230016135747,0,11,3,3,2.050609665440989,1.2987686476043385,0.7118399,1
0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.676003063283465,0,11,3,3,2.0435508312738424,1.2987686476043385,0.7115028,1
0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.676003063283465,0,11,3,3,2.0435508312738424,1.2987686476043385,0.7115028,1
0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.676003063283465,0,11,3,3,2.0364675298172563,1.2987686476043385,0.71288204,1
0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.666230239806872,0,11,3,3,2.0435508312738397,1.2971121771072838,0.7159371,1
0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.666230239806872,0,11,3,3,2.0435508312738397,1.2971121771072838,0.7159371,1
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.666230239806872,0,11,3,3,2.0435508312738397,1.2971121771072838,0.713065,1
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.666230239806872,0,11,3,3,2.0365166338628287,1.2872451204024826,0.71540093,1
0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.656458380995139,0,11,3,3,2.050658430846053,1.277380131362629,0.7213584,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.656458380995139,0,11,3,3,2.050658430846053,1.2872451204024826,0.716008,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.656458380995139,0,11,3,3,2.0577900767570996,1.285651585772755,0.7160313,1
0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.656458380995139,0,11,3,3,2.0577900767570996,1.2872451204024826,0.7185598,1
0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.658594714608156,0,11,3,3,2.0576928828180385,1.28413394939936,0.7190614,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.658594714608156,0,11,3,3,2.0576928828180385,1.294024729284569,0.7141728,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.658594938154572,0,11,3,3,2.071931466048047,1.28413394939936,0.715601,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.668362325197701,0,11,3,3,2.0648002324680235,1.294024729284569,0.7132304,1
0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.668362325197701,0,11,3,3,2.071834935510071,1.294024729284569,0.71292853,1
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.668362325197701,0,11,3,3,2.0648002324680235,1.294024729284569,0.71430165,1
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.668362325197701,0,11,3,3,2.0648002324680235,1.3039171752837666,0.7122575,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.670513436889549,0,11,3,3,2.071834935510071,1.3039171752837666,0.71131784,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.670513436889549,0,11,3,3,2.071834935510071,1.3024976007655427,0.71161234,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.670513436889549,0,11,3,3,2.071834935510071,1.3024976007655427,0.71161234,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.670513436889549,0,11,3,3,2.071834935510071,1.3024976007655427,0.71161234,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277317178084,0,11,3,3,2.064751801064725,1.311068266719927,0.70949507,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277317178084,0,11,3,3,2.064751801064725,1.311068266719927,0.70949507,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277317178084,0,11,3,3,2.064751801064725,1.311068266719927,0.70949507,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.064751801064725,1.3209844813622895,0.7067793,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277540667045,0,11,3,3,2.071834935510071,1.3110682667199305,0.7091888,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277540667045,0,11,3,3,2.071931466048047,1.3110682667199305,0.70918465,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277540667045,0,11,3,3,2.071931466048047,1.3110682667199305,0.70918465,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277540667045,0,11,3,3,2.071931466048047,1.3110682667199305,0.70918465,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.680277540667045,0,11,3,3,2.0790863377936,1.3110682667199305,0.70887506,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.071931466048047,1.3309019498069725,0.70438486,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.071931466048047,1.3309019498069725,0.70438486,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.071931466048047,1.3309019498069725,0.70438486,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.064800232468026,1.3309019498069725,0.7046962,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.699808503653579,0,11,3,3,2.064800232468026,1.3309019498069725,0.7040463,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.064945519862448,1.3309019498069725,0.70468986,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.064945519862448,1.3309019498069725,0.70468986,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.0577900767571022,1.3309019498069725,0.705002,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.0577900767571022,1.3309019498069725,0.705002,1
0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.690042415988991,0,11,3,3,2.064945519862448,1.339589489358585,0.7082991,1
0.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.692206071236398,0,11,3,3,2.0648002324680164,1.358307770720611,0.7055771,1
0.19,1.39,0.01,0.0,0.0,0.0,0.0,0.0,1.0,4.67268635826766,0,11,3,3,2.079086337793593,1.3771347065556052,0.70661294,1
