game_play_id,motion_one,motion_two,motion_three,motion_four,motion_five,motion_six
2022091100 2741,NA,NA,NA,NA,NA,NA
2022091100 2841,0,1,3,0,0,0
2022091100 2960,0,0,0,2,0,0
2022091100 2984,0,0,0,1,0,0
2022091100 301,NA,NA,NA,NA,NA,NA
2022091100 3050,1,0,0,1,0,0
2022091100 3267,0,0,0,1,0,0
2022091100 3289,0,0,0,2,0,0
2022091100 3310,0,0,0,2,0,0
2022091100 3334,NA,NA,NA,NA,NA,NA
2022091100 3355,0,0,0,0,0,1
2022091100 3379,0,0,0,2,0,1
2022091100 3757,0,0,0,2,0,0
2022091100 3778,0,0,0,2,0,0
2022091100 3888,0,0,0,1,0,0
2022091100 3926,1,0,0,0,0,0
2022091100 395,0,2,0,0,0,0
2022091100 419,0,0,1,0,0,0
2022091100 4210,0,0,0,1,0,0
2022091100 4266,0,0,0,0,2,0
2022091100 458,0,1,0,0,0,0
2022091100 501,0,0,0,2,0,0
2022091100 546,NA,NA,NA,NA,NA,NA
2022091100 57,0,1,0,0,0,0
2022091100 679,0,1,0,0,0,0
2022091100 719,0,0,0,0,1,0
2022091100 741,NA,NA,NA,NA,NA,NA
2022091100 78,0,0,1,0,0,0
2022091100 807,1,0,0,0,0,0
2022091100 828,0,0,0,0,1,0
2022091100 870,0,1,0,0,0,0
2022091100 914,0,0,0,2,0,0
2022091100 935,1,0,0,0,0,0
2022091100 996,0,0,0,2,0,1
2022091101 1014,0,0,3,0,0,0
2022091101 109,0,0,1,0,0,0
2022091101 1144,0,0,0,1,0,0
2022091101 1192,1,0,0,0,0,0
2022091101 1213,0,1,0,0,0,0
2022091101 1276,0,1,0,0,0,0
2022091101 1338,0,0,0,0,0,1
2022091101 1357,0,0,0,0,1,0
2022091101 1384,0,0,0,0,0,1
2022091101 1438,0,2,0,0,0,0
2022091101 1492,0,1,0,0,0,0
2022091101 1516,0,1,1,0,0,0
2022091101 1537,0,1,0,0,0,0
2022091101 1590,0,1,0,0,0,0
2022091101 1616,0,1,0,0,0,0
2022091101 1691,0,0,0,0,1,0
2022091101 1826,0,0,0,0,2,0
2022091101 184,0,0,0,0,0,1
2022091101 1980,0,0,1,0,0,0
2022091101 2027,0,1,1,0,0,0
2022091101 2089,0,0,1,0,0,0
2022091101 213,0,0,0,1,1,0
2022091101 2199,0,0,0,1,0,0
2022091101 2298,0,1,0,0,0,0
2022091101 2320,0,0,1,0,0,0
2022091101 2341,0,0,2,0,0,0
2022091101 2365,0,1,1,0,0,0
2022091101 2431,0,0,0,0,0,1
2022091101 2478,0,0,1,0,0,0
2022091101 2501,0,1,0,0,0,0
2022091101 251,0,0,0,1,0,0
2022091101 2545,0,0,1,0,0,0
2022091101 2629,0,0,0,0,1,0
2022091101 2683,0,0,0,1,0,0
2022091101 2704,0,0,0,1,1,0
2022091101 272,0,0,0,0,0,1
2022091101 2783,0,0,1,0,0,0
2022091101 2951,0,0,0,0,1,0
2022091101 296,0,0,0,1,0,0
2022091101 2980,0,0,0,0,1,0
2022091101 3006,0,0,0,0,1,0
2022091101 3080,0,1,0,0,0,0
2022091101 3125,0,0,1,0,0,0
2022091101 3146,0,1,0,0,0,0
2022091101 317,1,0,0,0,1,0
2022091101 3242,0,0,0,1,0,0
2022091101 3263,0,0,0,0,1,0
2022091101 3287,0,0,0,2,0,0
2022091101 3315,0,0,0,1,2,0
2022091101 3336,0,0,0,0,1,0
2022091101 3357,0,0,0,2,0,0
2022091101 339,0,0,0,1,0,0
2022091101 3399,0,0,0,1,0,0
2022091101 3454,0,1,0,0,0,0
2022091101 3569,0,0,0,1,0,0
2022091101 3591,0,0,0,0,1,0
2022091101 361,0,1,0,0,0,0
2022091101 3615,0,0,0,2,0,0
2022091101 3707,0,0,0,1,0,0
2022091101 3789,0,1,1,0,0,0
2022091101 3841,0,1,0,0,0,0
2022091101 3862,0,0,0,0,0,1
2022091101 3961,0,1,1,0,0,0
2022091101 4242,0,1,1,0,0,0
2022091101 438,0,1,0,0,0,0
2022091101 521,1,0,0,0,0,0
2022091101 542,0,0,0,0,0,1
2022091101 599,0,0,0,1,0,0
2022091101 620,0,0,0,1,1,0
2022091101 686,1,0,0,0,0,0
2022091101 748,0,0,1,0,0,0
2022091101 85,0,1,0,0,0,0
2022091101 850,0,1,0,0,0,0
2022091101 883,0,1,0,0,0,0
2022091101 993,0,1,1,0,0,0
2022091102 1029,0,1,0,0,0,0
2022091102 1050,0,0,1,0,0,0
2022091102 1107,1,0,0,0,0,0
2022091102 1162,0,0,0,1,0,0
2022091102 1183,0,0,0,1,0,0
2022091102 1204,0,0,0,0,0,1
2022091102 1265,0,0,0,1,0,0
2022091102 1286,0,0,0,1,0,0
2022091102 1363,0,0,1,0,0,0
2022091102 145,0,0,1,0,0,0
2022091102 1472,1,0,0,0,0,0
2022091102 1588,1,0,0,1,0,0
2022091102 1609,0,0,0,0,1,0
2022091102 1631,0,0,0,1,0,0
2022091102 1700,0,1,1,0,0,0
2022091102 1794,0,0,1,0,0,0
2022091102 1815,0,1,0,0,0,0
2022091102 1869,3,1,1,0,0,0
2022091102 189,0,0,1,0,0,0
2022091102 1907,1,0,0,0,0,0
2022091102 1928,0,0,1,0,0,0
2022091102 1954,0,0,1,0,0,0
2022091102 2065,1,0,0,0,0,0
2022091102 2238,1,0,0,1,0,0
2022091102 2259,0,0,0,1,0,0
2022091102 2281,1,0,0,0,0,0
2022091102 2331,0,0,0,0,1,0
2022091102 2373,1,0,0,0,0,0
2022091102 239,0,0,0,1,0,0
2022091102 2415,0,0,0,1,1,0
2022091102 2436,0,0,0,0,1,0
2022091102 2596,1,0,0,0,0,1
2022091102 2618,0,0,0,2,0,0
2022091102 2717,0,0,0,1,0,0
2022091102 2759,0,0,0,1,0,0
2022091102 2783,0,0,0,1,0,0
2022091102 2804,0,0,0,1,0,0
2022091102 2923,0,0,1,0,0,0
2022091102 2945,0,1,0,0,0,0
2022091102 3022,0,0,0,1,1,0
2022091102 3043,0,0,0,1,0,0
2022091102 3064,0,0,0,1,0,0
2022091102 3096,0,0,0,1,0,0
2022091102 3119,0,0,0,1,0,0
2022091102 3148,0,0,0,0,1,1
2022091102 322,0,0,0,1,0,0
2022091102 3231,0,1,0,0,0,0
2022091102 3315,0,0,2,0,0,0
2022091102 3336,0,1,0,0,0,0
2022091102 3360,0,1,0,0,0,0
2022091102 3381,0,1,0,0,0,0
2022091102 3402,0,0,1,0,0,0
2022091102 343,0,0,0,0,0,1
2022091102 3449,0,0,0,1,0,0
2022091102 3470,0,0,0,1,0,0
2022091102 3502,0,0,0,1,0,0
2022091102 3523,0,0,0,1,0,0
2022091102 3739,0,2,0,0,0,0
2022091102 388,0,0,0,1,0,0
2022091102 3899,0,0,1,0,0,0
2022091102 3921,0,1,0,0,0,0
2022091102 3943,0,0,0,1,0,0
2022091102 3981,0,0,0,1,0,0
2022091102 4102,0,1,0,0,0,0
2022091102 467,0,0,0,1,0,0
2022091102 488,1,0,0,0,1,0
2022091102 531,0,0,0,1,0,0
2022091102 552,0,1,0,0,0,0
2022091102 574,0,1,0,0,0,0
2022091102 595,0,0,1,0,0,0
2022091102 698,0,0,0,1,0,0
2022091102 756,0,0,0,1,0,1
2022091102 800,0,0,0,1,0,0
2022091102 821,0,0,0,0,1,0
2022091102 86,0,0,0,1,0,0
2022091102 900,0,1,0,0,0,0
2022091102 921,0,1,0,0,0,0
2022091102 942,0,1,0,0,0,0
2022091102 989,0,0,0,1,0,0
2022091103 1016,0,0,1,0,0,0
2022091103 1037,0,1,0,0,0,0
2022091103 1084,0,0,0,1,0,0
2022091103 1105,0,0,0,1,0,0
2022091103 1126,0,0,0,1,1,0
2022091103 1150,0,0,0,2,3,0
2022091103 1171,0,0,0,0,1,0
2022091103 1228,0,0,0,1,0,0
2022091103 1249,0,0,0,1,0,0
2022091103 1315,0,1,0,0,0,0
2022091103 1363,0,1,0,0,0,0
2022091103 1429,0,1,0,0,0,0
2022091103 1471,0,0,0,0,0,1
2022091103 1493,0,0,0,0,0,1
2022091103 1565,0,1,1,0,0,0
2022091103 1589,1,0,1,0,0,0
2022091103 1672,0,1,0,0,0,0
2022091103 1700,0,1,0,0,0,0
2022091103 1772,0,0,1,0,0,0
2022091103 1926,0,0,0,1,0,1
2022091103 1947,0,0,0,1,0,0
2022091103 195,0,0,0,1,0,0
2022091103 2008,NA,NA,NA,NA,NA,NA
2022091103 2037,0,1,0,0,0,0
2022091103 2082,0,1,0,0,0,0
2022091103 2103,0,1,0,0,0,0
2022091103 2201,0,0,0,1,1,0
2022091103 2222,1,0,0,0,0,0
2022091103 2243,0,0,0,0,1,0
2022091103 2272,0,0,0,1,1,1
2022091103 2291,0,0,0,1,0,0
2022091103 2315,0,0,0,1,0,0
2022091103 2336,0,0,0,1,0,0
2022091103 2357,0,0,0,0,1,0
2022091103 2414,NA,NA,NA,NA,NA,NA
2022091103 2433,0,2,0,0,0,0
2022091103 2462,0,1,0,0,0,0
2022091103 2569,0,1,0,0,0,0
2022091103 2719,0,0,0,1,0,0
2022091103 274,0,0,0,1,0,0
2022091103 2807,0,0,0,0,0,1
2022091103 2829,0,0,0,0,0,1
2022091103 2851,0,0,0,1,0,0
2022091103 2955,0,1,0,0,0,0
2022091103 3011,0,1,0,0,0,0
2022091103 3032,0,3,0,0,0,0
2022091103 3054,0,1,0,0,0,0
2022091103 3105,0,0,0,1,0,0
2022091103 3126,0,0,0,1,0,0
2022091103 3171,0,0,0,0,0,1
2022091103 319,1,0,0,1,0,0
2022091103 3272,0,1,0,0,0,0
2022091103 3294,0,1,0,0,0,0
2022091103 340,0,0,0,1,0,0
2022091103 3505,0,0,1,0,0,0
2022091103 3527,0,1,0,0,0,0
2022091103 3613,NA,NA,NA,NA,NA,NA
2022091103 364,0,0,0,1,0,0
2022091103 3680,0,0,0,1,0,0
2022091103 412,0,0,0,1,0,0
2022091103 4154,0,1,0,0,0,0
2022091103 4199,0,0,1,0,0,0
2022091103 4300,0,0,0,1,0,0
2022091103 4324,0,0,0,1,0,0
2022091103 4353,0,0,0,1,0,1
2022091103 446,0,0,0,1,0,0
2022091103 4462,0,0,0,1,0,0
2022091103 4631,NA,NA,NA,NA,NA,NA
2022091103 4686,0,0,0,0,0,1
2022091103 499,0,1,1,0,0,0
2022091103 4993,0,1,0,0,0,0
2022091103 520,0,0,2,0,0,0
2022091103 58,0,1,0,0,0,0
2022091103 611,0,0,0,0,0,1
2022091103 632,0,0,0,2,0,0
2022091103 690,0,0,0,1,0,0
2022091103 719,0,1,0,0,0,0
2022091103 764,0,1,0,0,0,0
2022091103 852,NA,NA,NA,NA,NA,NA
2022091103 881,0,0,0,1,0,0
2022091103 955,1,0,0,0,0,0
2022091104 107,0,0,0,2,0,0
2022091104 1094,0,0,3,0,0,0
2022091104 1115,0,0,1,0,0,0
2022091104 1136,0,0,1,0,0,0
2022091104 1207,0,0,0,0,0,1
2022091104 1228,0,0,0,0,0,1
2022091104 1273,1,0,0,0,0,0
2022091104 128,0,0,0,0,1,0
2022091104 1325,0,2,1,0,0,0
2022091104 149,0,0,0,0,0,1
2022091104 1528,1,0,0,0,0,0
2022091104 1713,0,1,0,0,0,0
2022091104 1768,0,0,1,0,0,0
2022091104 1826,0,0,1,0,0,0
2022091104 1871,0,1,2,0,0,0
2022091104 1917,0,1,0,0,0,0
2022091104 1938,0,0,1,0,0,0
2022091104 1962,0,0,1,0,0,0
2022091104 1986,0,1,0,0,0,0
2022091104 2007,0,2,0,0,0,0
2022091104 2154,0,0,0,0,3,0
2022091104 2190,0,0,0,0,1,0
2022091104 2269,0,0,0,1,0,0
2022091104 238,0,0,0,0,1,0
2022091104 2492,0,0,0,0,1,0
2022091104 2558,0,0,0,2,0,0
2022091104 2641,0,0,0,0,0,1
2022091104 267,0,0,0,1,0,0
2022091104 2736,0,0,1,0,0,0
2022091104 2760,0,1,0,0,0,0
2022091104 2781,0,2,1,0,0,0
2022091104 2829,0,1,0,0,0,0
2022091104 2877,2,0,0,0,0,0
2022091104 288,0,0,0,1,0,0
2022091104 2906,0,1,0,0,0,0
2022091104 2928,0,0,1,0,0,0
2022091104 2952,0,0,1,0,0,0
2022091104 2974,0,1,0,0,0,0
2022091104 2995,0,0,1,0,0,0
2022091104 3016,0,1,0,0,0,0
2022091104 3059,0,1,0,0,0,0
2022091104 3148,0,0,0,0,0,1
2022091104 3204,0,0,0,0,3,1
2022091104 3286,0,1,0,0,0,0
2022091104 3307,0,0,1,0,0,0
2022091104 343,0,1,0,0,0,0
2022091104 3434,0,0,0,1,0,0
2022091104 3502,0,0,0,1,0,0
2022091104 3572,0,1,0,0,0,0
2022091104 369,0,1,0,0,0,0
2022091104 3709,0,0,0,1,0,0
2022091104 3730,0,0,0,0,1,0
2022091104 3754,0,0,0,1,0,0
2022091104 3776,0,0,0,3,0,0
2022091104 3821,0,1,0,0,0,0
2022091104 3899,0,1,0,0,0,0
2022091104 390,0,2,1,0,0,0
2022091104 3956,0,0,0,1,0,0
2022091104 3980,0,0,0,1,0,0
2022091104 4001,0,0,0,0,2,0
2022091104 4046,0,0,0,1,1,0
2022091104 4313,0,0,1,0,0,0
2022091104 4334,0,1,0,0,0,0
2022091104 4448,0,1,0,0,0,0
2022091104 4469,0,1,0,0,0,0
2022091104 462,0,2,1,0,0,0
2022091104 58,0,0,0,1,0,0
2022091104 580,0,0,0,1,0,0
2022091104 604,0,0,0,1,0,0
2022091104 689,0,1,0,0,0,0
2022091104 713,0,0,1,0,0,0
2022091104 86,0,0,0,0,1,0
2022091105 1008,0,0,0,0,0,1
2022091105 101,0,0,0,0,0,1
2022091105 1050,1,0,0,0,0,0
2022091105 1170,0,0,1,0,0,0
2022091105 1215,2,0,0,0,0,0
2022091105 1236,0,1,0,0,0,0
2022091105 1283,0,2,0,0,0,0
2022091105 140,0,1,1,0,0,0
2022091105 1456,0,1,0,0,0,0
2022091105 1518,0,0,1,0,0,0
2022091105 1589,0,1,2,0,0,0
2022091105 1809,1,0,0,0,0,0
2022091105 1968,0,1,0,0,0,0
2022091105 2021,0,1,0,0,0,0
2022091105 2100,0,0,0,1,0,0
2022091105 2132,0,0,0,1,0,0
2022091105 2153,0,0,0,0,1,0
2022091105 228,0,0,0,1,0,0
2022091105 2303,0,0,0,1,0,0
2022091105 2324,0,0,0,1,0,0
2022091105 2345,0,1,0,0,0,0
2022091105 2404,0,0,1,0,0,0
2022091105 2425,0,1,1,0,0,0
2022091105 2476,0,0,0,1,0,0
2022091105 2544,0,0,0,1,0,0
2022091105 273,0,0,0,1,0,0
2022091105 2742,0,0,1,0,0,0
2022091105 2817,0,1,0,0,0,0
2022091105 2930,0,0,0,1,3,0
2022091105 3000,0,0,1,0,0,0
2022091105 3094,0,0,1,0,0,0
2022091105 3316,0,0,0,1,0,0
2022091105 336,0,0,0,1,0,0
2022091105 3366,0,1,0,0,0,0
2022091105 3387,0,1,0,0,0,0
2022091105 3413,0,0,1,0,0,0
2022091105 3461,0,0,0,1,0,0
2022091105 3482,0,0,0,1,0,0
2022091105 3524,0,0,0,1,0,0
2022091105 3545,0,0,0,0,2,1
2022091105 358,0,0,0,1,0,0
2022091105 3691,0,1,0,0,0,0
2022091105 3750,0,0,1,0,0,0
2022091105 3856,0,0,0,1,0,0
2022091105 403,0,0,0,1,0,0
2022091105 4232,0,0,0,1,0,0
2022091105 424,0,0,0,1,0,0
2022091105 4251,0,0,0,2,0,0
2022091105 4352,0,2,0,0,0,0
2022091105 4373,0,0,1,0,0,0
2022091105 4394,0,1,0,0,0,0
2022091105 445,0,0,0,0,1,1
2022091105 4462,0,0,0,1,0,0
2022091105 4488,0,0,0,1,0,0
2022091105 4512,0,1,0,0,0,0
2022091105 4557,0,1,0,0,0,0
2022091105 4578,0,1,0,0,0,0
2022091105 4599,0,1,0,0,0,0
2022091105 4794,0,0,0,0,1,0
2022091105 56,0,0,0,0,1,0
2022091105 619,0,0,0,1,0,0
2022091105 667,0,0,0,2,0,0
2022091105 688,0,0,0,1,0,0
2022091105 77,0,0,0,1,0,0
2022091105 889,0,0,0,0,0,1
2022091105 912,0,0,0,1,0,0
2022091106 1019,0,0,0,1,0,0
2022091106 1098,0,0,0,0,1,0
2022091106 1125,0,0,0,0,1,0
2022091106 1218,0,0,0,1,0,0
2022091106 130,1,0,1,0,0,1
2022091106 1380,0,0,1,0,0,0
2022091106 1425,0,1,0,0,0,0
2022091106 1480,0,1,0,0,0,0
2022091106 154,0,0,1,0,0,0
2022091106 1544,0,1,0,0,0,0
2022091106 1568,1,0,0,0,0,0
2022091106 1590,1,0,0,0,0,0
2022091106 1609,0,2,0,0,0,0
2022091106 1653,0,1,1,0,0,0
2022091106 175,0,0,1,0,0,0
2022091106 1774,1,0,0,1,0,0
2022091106 1798,0,0,0,1,0,0
2022091106 1819,0,0,0,1,0,0
2022091106 1919,0,1,0,0,0,0
2022091106 1945,0,1,1,0,0,0
2022091106 196,0,0,1,0,0,0
2022091106 1966,0,1,0,0,0,0
2022091106 1995,0,1,1,0,0,0
2022091106 2066,0,0,1,0,0,0
2022091106 2090,0,1,1,0,0,0
2022091106 2116,0,0,1,0,0,0
2022091106 2170,0,0,1,0,0,0
2022091106 2191,0,0,1,0,0,0
2022091106 2358,1,0,0,0,0,0
2022091106 236,0,0,1,0,0,0
2022091106 2384,1,0,0,0,0,0
2022091106 2405,0,0,0,1,0,0
2022091106 2450,0,0,0,2,0,0
2022091106 2474,0,0,0,1,0,0
2022091106 2584,0,0,0,1,1,0
2022091106 2605,0,0,0,1,1,0
2022091106 2626,0,0,0,0,1,0
2022091106 2680,0,0,0,1,0,0
2022091106 2721,0,1,0,0,0,0
2022091106 2743,0,1,0,0,0,0
2022091106 2767,0,0,1,0,0,0
2022091106 2818,0,0,0,1,0,0
2022091106 2840,0,0,0,0,1,0
2022091106 2864,0,0,0,1,0,0
2022091106 290,0,0,0,1,0,0
2022091106 2935,1,0,0,0,0,0
2022091106 2956,1,0,0,0,0,0
2022091106 3002,0,1,0,0,0,0
2022091106 3050,0,1,0,0,0,0
2022091106 3138,0,0,0,0,1,0
2022091106 314,0,0,0,1,0,0
2022091106 3213,0,0,0,1,0,0
2022091106 3253,0,1,0,0,0,0
2022091106 3277,1,0,0,0,0,0
2022091106 3298,0,0,0,1,0,0
2022091106 3361,0,0,1,0,0,0
2022091106 338,1,0,0,0,0,1
2022091106 3399,0,1,1,0,0,0
2022091106 3437,0,2,0,0,0,0
2022091106 3475,0,0,1,0,0,0
2022091106 359,0,0,0,1,0,0
2022091106 442,0,0,0,1,0,0
2022091106 466,0,0,0,1,0,0
2022091106 499,0,0,0,1,0,0
2022091106 523,0,0,0,1,0,0
2022091106 586,0,1,0,0,0,0
2022091106 59,0,1,0,0,0,0
2022091106 607,0,0,1,0,0,0
2022091106 633,0,2,0,0,0,0
2022091106 657,0,0,1,0,0,0
2022091106 704,0,1,1,0,0,0
2022091106 733,0,1,0,0,0,0
2022091106 752,0,0,0,1,0,0
2022091106 83,0,0,1,0,0,0
2022091106 835,0,1,0,0,0,0
2022091106 883,0,1,0,0,0,0
2022091106 904,0,1,1,0,0,0
2022091106 925,0,1,0,0,0,0
2022091106 974,0,1,1,0,0,0
2022091106 998,0,1,0,0,0,0
2022091107 1051,0,2,0,0,0,0
2022091107 1099,2,0,0,0,0,0
2022091107 1120,0,1,0,0,0,0
2022091107 1144,0,1,0,0,0,0
2022091107 115,0,0,0,1,0,0
2022091107 1165,0,0,2,0,0,0
2022091107 1194,0,1,1,0,0,0
2022091107 1236,0,0,0,1,0,0
2022091107 1260,0,0,0,0,1,0
2022091107 1284,0,0,0,1,0,0
2022091107 1310,0,0,0,0,1,0
2022091107 1378,0,0,1,0,0,0
2022091107 1445,0,0,1,0,0,0
2022091107 1469,0,1,0,0,0,0
2022091107 1596,0,0,0,1,0,0
2022091107 1618,0,0,0,0,1,0
2022091107 1642,1,0,0,0,0,0
2022091107 1696,0,1,0,0,0,0
2022091107 1717,0,1,1,0,0,0
2022091107 1738,0,0,0,1,0,0
2022091107 1803,0,2,0,0,0,0
2022091107 1879,0,0,1,0,0,0
2022091107 202,0,0,1,0,0,0
2022091107 2113,0,1,0,0,0,0
2022091107 2200,0,0,0,1,0,0
2022091107 2219,0,0,0,0,2,0
2022091107 2243,0,0,0,1,0,0
2022091107 2285,0,1,0,0,0,0
2022091107 230,0,1,0,0,0,0
2022091107 2314,0,1,0,0,0,0
2022091107 2361,0,1,0,0,0,0
2022091107 2406,0,1,0,0,0,0
2022091107 2457,0,0,0,1,0,0
2022091107 2478,0,0,0,1,0,0
2022091107 254,0,1,1,0,0,0
2022091107 2551,0,0,0,1,1,0
2022091107 2572,0,0,0,0,1,0
2022091107 2613,0,2,0,0,0,0
2022091107 2635,0,0,1,0,0,0
2022091107 2680,0,1,0,0,0,0
2022091107 2712,0,1,0,0,0,0
2022091107 275,0,0,1,0,0,0
2022091107 2803,0,0,0,1,0,0
2022091107 2844,0,0,0,1,0,0
2022091107 2934,0,1,0,0,0,0
2022091107 3026,0,0,0,1,0,1
2022091107 3115,0,0,0,0,3,0
2022091107 3139,0,0,0,1,0,0
2022091107 3163,0,0,0,1,0,0
2022091107 3184,0,0,0,1,0,0
2022091107 3206,1,0,0,0,0,0
2022091107 3253,0,0,1,0,0,0
2022091107 3299,0,0,0,2,0,0
2022091107 3374,0,1,0,0,0,0
2022091107 3527,0,0,1,0,0,0
2022091107 3551,0,1,1,0,0,0
2022091107 3601,0,1,0,0,0,0
2022091107 3625,0,1,0,0,0,0
2022091107 3647,0,0,1,0,0,0
2022091107 3718,0,0,0,1,0,0
2022091107 3789,0,1,0,0,0,0
2022091107 391,0,0,0,1,0,0
2022091107 4071,0,0,1,0,0,0
2022091107 412,0,0,0,1,0,0
2022091107 469,1,0,0,0,0,0
2022091107 490,1,0,0,1,0,0
2022091107 511,0,0,0,0,1,0
2022091107 552,0,2,0,0,0,0
2022091107 595,0,1,0,0,0,0
2022091107 636,0,0,0,1,0,0
2022091107 660,0,0,0,1,0,0
2022091107 68,0,0,0,1,0,0
2022091107 697,0,0,0,0,1,0
2022091107 723,0,2,0,0,0,0
2022091107 744,0,0,1,0,0,0
2022091107 824,0,0,0,1,0,0
2022091107 846,0,0,0,0,1,0
2022091107 868,0,0,0,0,1,0
2022091107 911,0,1,0,0,0,0
2022091107 935,0,2,0,0,0,0
2022091107 959,0,1,0,0,0,0
2022091107 999,0,0,0,1,0,0
2022091108 1039,0,0,0,0,1,0
2022091108 104,0,1,0,0,0,0
2022091108 1167,0,1,0,0,0,0
2022091108 1196,0,0,1,0,0,0
2022091108 1222,0,1,0,0,0,0
2022091108 1246,0,1,1,0,0,0
2022091108 1309,0,0,0,0,1,0
2022091108 1333,0,0,0,2,0,0
2022091108 1354,0,0,0,0,1,0
2022091108 1399,0,0,0,0,1,1
2022091108 1440,0,2,0,0,0,0
2022091108 1461,0,0,1,0,0,0
2022091108 1483,0,0,1,0,0,0
2022091108 150,0,0,0,0,1,0
2022091108 1509,0,0,2,0,0,0
2022091108 1595,0,0,1,0,0,0
2022091108 1639,0,0,0,0,1,0
2022091108 171,0,0,0,0,1,0
2022091108 1737,1,0,0,0,0,0
2022091108 1778,0,0,0,1,0,0
2022091108 1853,0,1,1,0,0,0
2022091108 1874,0,1,0,0,0,0
2022091108 1895,0,0,2,0,0,0
2022091108 1948,0,0,0,1,0,0
2022091108 195,0,0,0,1,0,0
2022091108 1974,0,0,0,0,1,0
2022091108 1995,0,0,0,1,0,0
2022091108 2027,1,0,0,0,1,0
2022091108 2098,0,1,1,0,0,0
2022091108 2119,0,1,0,0,0,0
2022091108 216,0,0,0,0,1,0
2022091108 2297,0,1,0,0,0,0
2022091108 2398,0,0,1,0,0,0
2022091108 240,0,0,0,0,1,0
2022091108 2473,0,0,1,0,0,0
2022091108 2636,0,0,0,0,1,0
2022091108 2657,1,0,0,0,0,0
